Speaker,Content,Option1,Next1,Option2,Next2,Option3,Next3
???,괜찮아? 다친 곳은 없어?,넌 누구야?,2,여긴 어디야?,3,None,-1
일섭,나는 일섭이라고 해. 여긴 달맞이 숲이라는 곳이야. \n이 근처에서 큰 폭발이 있었는데..,None,-1,None,-1,None,-1
일섭,여긴 달맞이 숲이야. 내 이름은 일섭이라고 해. \n이 근처에서 큰 폭발이 있었는데..,None,-1,None,-1,None,-1
일섭,혹시 본 적 있어?,뭔가를 만졌는데..,5,None,3,None,-1
일섭,결계 같은 것이 깨졌다고..? 혹시 조각상을 만진거야?,그런 것 같아..,6,None,-1,None,-1
일섭,그 조각상은 마고신의 조각상이야. 마고신은 달맞이 숲의 수호신이고..,None,-1,None,-1,None,-1
일섭,지금 이 상황을 알만한 사람을 알아. 그에게 가보자! 그나저나..,None,-1,None,-1,None,-1
일섭,아직까지 통성명도 안했네. 네 이름은 뭐야??,{PlayerName}(이)야.,9,None,-1,None,-1
일섭,{PlayerName} 반가워! 다시 한번 소개할께. 나는 달맞이 숲의 파수꾼인 일섭이야!,반가워.,10,None,-1,None,-1
일섭,그럼 늦기 전에 그럼 할아범네로 가볼까?,None,-1,None,-1,None,-1
일섭,그 전에 할아범네로 가려면 주변 몬스터를 좀 정리해야 해. \n지금은 아무것도 없으니까 위험할꺼야. 여기 무기를 줄게.,None,-1,None,-1,None,-1
일섭,몬스터 소탕이 끝나면 나한테 다시 알려줘!,다녀올게.,13,None,-1,None,-1
Cut,,,,,,,
일섭,너 엄청 강하구나? 고생했어!,None,-1,None,-1,None,-1
일섭,이제 할아범네로 출발하자!,응. 알겠어.,16,None,-1,None,-1
Cut,,,,,,,
